Amenity Type,Name,Latitude,Longitude,road,suburb,state_district,road_count,suburb_count,district_count,scaled_suburb,population
cafe,Chaayos,28.5513268,77.2518752,Nehru Place Road,Nehru Place,South East Delhi,10,13,189,1.7567567567567568,10190
cafe,United Coffee House,28.5514607,77.251537,Nehru Place Road,Nehru Place,South East Delhi,10,13,189,1.7567567567567568,10190
cafe,Blue Tokai,28.6309899,77.2218384,Outer Circle,Connaught Place,,28,74,0,10.0,28010
cafe,Green Dot Theory,28.4445699,77.188257,Sant Shri Nagpal Marg,Asola,South Delhi,2,1,231,0.13513513513513514,2231
cafe,Chonas,28.5277694,77.1895212,Aurobindo Marg,Lado Sarai,South Delhi,17,2,231,0.2702702702702703,17231
cafe,Sardarji Bakhsh Coffee and Company,28.6931287,77.2047996,Thekedar Surjit Singh Marg,,North Delhi,2,0,47,0.0,2047
cafe,Taste of Nation,28.5178715,77.1992205,Lane Number 3,,South Delhi,6,0,231,0.0,6231
cafe,Café Amsterdam,28.5399961,77.2581592,Hansraj Sethi Marg,Kalkaji,South East Delhi,17,18,189,2.4324324324324325,17191
cafe,Cafe Coffee Day,28.5406268,77.2567821,Hansraj Sethi Marg,Kalkaji,South East Delhi,17,18,189,2.4324324324324325,17191
cafe,NYC Queens,28.5400859,77.2580101,Hansraj Sethi Marg,Kalkaji,South East Delhi,17,18,189,2.4324324324324325,17191
cafe,Happy Dough,28.5398995,77.2582377,Hansraj Sethi Marg,Kalkaji,South East Delhi,17,18,189,2.4324324324324325,17191
cafe,Starbucks,28.4061488,77.0451428,Sohna Road,Sector 49,,9,5,0,0.6756756756756757,9000
cafe,Cafe Coffee Day,28.6343112,77.2194624,,Connaught Place,,0,74,0,10.0,10
cafe,Cafe Coffee Day,28.6336036,77.2178165,Radial Road 3,Connaught Place,,9,74,0,10.0,9010
cafe,Leaf Beat Bistro,28.5072646,77.200087,IGNOU Road,Neb Sarai,South Delhi,24,25,231,3.3783783783783785,24234
cafe,OTB Café,28.6343601,77.2182711,Radial Road 3,Connaught Place,,9,74,0,10.0,9010
cafe,café coffee day,28.5265942,77.1875219,Kalka Das Marg,Mehrauli,South Delhi,2,9,231,1.2162162162162162,2232
cafe,Open Hand Cafe (top top ;),28.6405754,77.2117485,Main Bazar Road,Paharganj,Central Delhi,9,16,99,2.1621621621621623,9101
cafe,Mapel Tree Cafe,28.5100632,77.2019615,IGNOU Road,Neb Sarai,South Delhi,24,25,231,3.3783783783783785,24234
cafe,The Construction Company,28.587778,77.1675315,Benito Juarez Marg,Delhi Cantonment,,27,55,0,7.4324324324324325,27007
cafe,Cafe Coffee Day,28.6514487,77.1591527,Patel Road,Patel Nagar,West Delhi,5,12,67,1.6216216216216217,5068
cafe,The Chocolate Room,28.5336105,77.2062709,Basant Kaur Marg,,South Delhi,12,0,231,0.0,12231
cafe,Cultured,28.5614184,77.1939656,Chaudhary Harsukh Marg,Hauz Khas,South Delhi,4,51,231,6.891891891891892,4237
cafe,Starbucks,28.5513314,77.2521109,Nehru Place Road,Nehru Place,South East Delhi,10,13,189,1.7567567567567568,10190
cafe,Milkshake and Co.,28.552562,77.24204,Eklavya Vithi,,South East Delhi,1,0,189,0.0,1189
cafe,DePaul's,28.6288925,77.2186728,Janpath,Connaught Place,,10,74,0,10.0,10010
cafe,Barista,28.5570095,77.1641633,Munirka Marg,Delhi Cantonment,,12,55,0,7.4324324324324325,12007
cafe,Costa,28.5575828,77.1640909,Munirka Marg,Delhi Cantonment,,12,55,0,7.4324324324324325,12007
cafe,Blue Tokai Coffee Roasters,28.5578559,77.1644557,Munirka Marg,Delhi Cantonment,,12,55,0,7.4324324324324325,12007
cafe,Vaw Cafe,28.5199328,77.2018409,Gali Number 1,,South Delhi,2,0,231,0.0,2231
cafe,Cafe Coffee Day,28.6928509,77.1528561,Mahatma Gandhi Road,Shalimar Bagh,North West Delhi,3,3,27,0.40540540540540543,3027
cafe,Nowhere Brewpub and cafe,28.4682859,77.0836684,Hamilton Ct Road,Sector 28,,2,7,0,0.945945945945946,2000
cafe,Dighent cafe,28.4682936,77.0830397,Hamilton Ct Road,Sector 28,,2,7,0,0.945945945945946,2000
cafe,Starbucks,28.4675277,77.0822417,DLF Galleria Road,IFFCO Chowk,,4,27,0,3.6486486486486487,4003
cafe,Chai Thela,28.5070388,77.1751014,Acharya Shri Tulsi Marg,,South Delhi,7,0,231,0.0,7231
cafe,WHSmith,28.506973,77.1752152,Acharya Shri Tulsi Marg,,South Delhi,7,0,231,0.0,7231
cafe,Kaffa Cerrado The Roastery,28.5390026,77.2702145,Ram Dulari Tundelkar Ji Road,,South East Delhi,3,0,189,0.0,3189
cafe,Quick Brown Fox Coffee Roasters,28.5033421,77.1853988,100 Feet Road,Chattarpur,South Delhi,5,4,231,0.5405405405405406,5231
cafe,Carnatic Cafe,28.5336703,77.2423029,Road Number 5,Alaknanda,South East Delhi,11,20,189,2.7027027027027026,11191
cafe,Roasters Coffee Co. Book Cafe,28.5270682,77.2166725,Birla Vidya Niketan Marg,Saket,South Delhi,5,25,231,3.3783783783783785,5234
