Amenity Type,Name,Latitude,Longitude,road,suburb,state_district
restaurant,The Keshari,25.3092903,83.0076598,Dashashwamedh Road,,Varanasi
restaurant,Ganga Fuji,25.3096482,83.0109745,Tripura Bhairwi,,Varanasi
restaurant,Megu Cafe,25.3103371,83.0098353,Tripura Bhairwi,,Varanasi
restaurant,Shiva Restaurant,25.2884268,83.0038878,Pandit Manmohan Malviya Road,,Varanasi
restaurant,Midway Treat Restaurant,24.9230633,81.6863035,NH30,,Rewa
restaurant,Shree Café,25.3079671,83.0100512,Dashashwamedh Road,,Varanasi
restaurant,Nepali,25.3083577,83.0096147,Dashashwamedh Road,,Varanasi
restaurant,Banarasi Tadka,25.29116,83.0043433,Pandit Manmohan Malviya Road,,Varanasi
restaurant,Kashi Chat,25.309354,83.0062499,Luxa Road,,Varanasi
restaurant,Roma's Cafe Diner,25.2812969,83.0031147,Pandit Manmohan Malviya Road,,Varanasi
restaurant,Salt & Pepper Food Hun,25.2941027,83.0047932,Pandit Manmohan Malviya Road,,Varanasi
restaurant,Royal,25.3347023,82.9798741,Nathusingh Road,Cantonment,Varanasi
restaurant,Shakti dhaba,25.2965602,82.4048177,NH19,,Sant Ravidas Nagar
restaurant,Aum Cafe - Organic Food 10/10!,25.289363,83.0056019,Assi Ghat Road,,Varanasi
restaurant,Kapachino,25.3042274,83.0075314,Godowalia Lanka Road,,Varanasi
restaurant,Raga cafe,25.31117,83.0134979,exit(kashi temple),,Varanasi
restaurant,Everest Cafe Momo Corner Restaurant,25.2968027,83.0070471,Godowalia Lanka Road,,Varanasi
restaurant,Itihaas-Alley Restaurant,25.2883186,83.0042819,Dumraon Colony Road,,Varanasi
restaurant,Angeethee Resturant,25.2872587,83.005015,Dumraon Colony Road,,Varanasi
restaurant,Night Food Market,25.4513777,81.8738372,krishna kunj road,Allahpur,Prayagraj
restaurant,BBC restaurant and hotel,25.2787574,83.0025286,Pandit Manmohan Malviya Road,,Varanasi
restaurant,Prayag Dhaba,25.4244733,81.9549917,NH19,,Prayagraj
restaurant,Dolphin Restaurant,25.3081958,83.0111787,Tripura Bhairwi,,Varanasi
restaurant,Sha,25.3133005,83.0046481,Nai Sarak Road,,Varanasi
restaurant,Carvaan Cafe & Restaurant,25.2881951,83.0052254,Assi Ghat Road,,Varanasi
restaurant,Deena Chat Bhandar,25.3090691,83.0023133,Luxa Road,,Varanasi
restaurant,Hangout,25.293813,83.0000413,Durgakund Road,,Varanasi
restaurant,Kerala Ganges,25.3087471,83.0115043,Tripura Bhairwi,,Varanasi
restaurant,Rahi Restaurant,25.4247331,81.9560108,NH19,,Prayagraj
restaurant,Canton Royale Restaurant,25.3390821,82.979916,The Mall Road,Cantonment,Varanasi
restaurant,Sagar Ratna,25.2813819,83.0032224,Pandit Manmohan Malviya Road,,Varanasi
restaurant,Bindass Restaurant,25.2623493,82.981643,Semi Circle Road 6,,Varanasi
restaurant,Sri Annapurna Restaurent,25.3099294,82.9887763,SIgra Mahmourganj Road,,Varanasi
restaurant,Pind Baluchi,25.3089162,82.9909262,Vidyapeeth Lanka Road,Cantonment,Varanasi
restaurant,Pink - The Colour Cafe,25.3089194,82.9909466,Vidyapeeth Lanka Road,Cantonment,Varanasi
restaurant,Kasora Restaurant,25.3010722,82.9558356,Raja Moti Chand Road,,Varanasi
restaurant,Chicago Pizza,25.3006423,82.9692811,SH74,Bhullanpur,Varanasi
restaurant,Bengal Sweet House,25.284004,82.9693379,University Road,Bhullanpur,Varanasi
restaurant,Rasna Family Restaurant,25.3070834,82.9919506,Guru Nanak Road,,Varanasi
restaurant,Kovil Restaurant,25.3119674,82.9867677,Vidyapeeth Lanka Road,Cantonment,Varanasi
restaurant,The Yellow Chilli,25.3055163,82.9810198,SIgra Mahmourganj Road,,Varanasi
restaurant,Ambrosia,25.2777473,82.9672239,BLW Road,Bhullanpur,Varanasi
restaurant,Mehfil,25.2866939,83.0017022,Ravindrapuri Road,,Varanasi
