Latitude,Longitude
26.6515524,81.9737461
25.2859572,83.1136657
25.386875,82.5805774
25.7468347,82.6938939
25.4125248,82.0312985
25.9217757,83.5664709
25.3502193,83.0226852
25.4266104,81.8268836
25.5808248,83.5801274
25.4429561,81.828429
25.91725,81.9930951
25.4633446,81.8484825
26.0286596,83.3883896
26.255524,82.063031
25.2890796,82.9708877
25.2596764,83.0338507
25.2760437,83.1357282
25.2620454,83.2630181
25.3274904,82.9914415
25.3987077,82.5677691
26.742639,83.3716097
26.7412138,83.3686995
25.3230301,83.0010518
25.7454716,82.6816966
25.3588766,83.0135543
25.4757592,82.5690023
25.9217322,83.5680239
25.354083,82.9825312
25.7279201,82.68985
25.4615794,82.4083479
25.5931466,82.9993722
25.3032363,82.9764466
25.2833258,82.9730503
26.2668388,83.5054453
25.9226106,83.5668521
26.5847764,82.1976521
25.3507187,82.976228
25.3344185,82.7890876
26.0538456,83.1828117
25.4654018,81.8332046
25.4680377,81.8243661
25.3275898,83.0027376
25.3661363,83.006195
26.7427516,83.3732077
26.7416989,83.3760304
25.3530274,82.9819612
25.3191944,83.0067299
25.4497628,81.8604552
25.4546773,81.8513656
25.4384364,81.8394688
25.4470887,81.8615844
25.2882993,82.4267406
25.2780889,83.0032586
25.3110083,83.0024332
26.4118646,82.5460989
25.4642043,81.8264642
26.0467164,83.1970395
25.4509899,81.8619747
25.2905553,83.0004665
25.3118776,82.9877642
25.353734,82.9649064
25.3518488,82.9822486
25.6454714,82.9182591
25.3046542,82.9803948
25.4509687,81.7807775
26.0780998,83.1857863
25.4500332,81.7662426
25.9294793,83.5667941
26.7454607,83.3793117
26.0895511,83.1878342
25.9191419,81.9844577
25.3536867,82.9793367
25.3493104,82.9916064
26.0043596,83.112957
25.2880337,83.1094198
25.2767719,83.1335617
25.4495004,81.762112
25.455994,81.8527398
25.3956777,81.8627411
25.3163026,82.9088225
26.2844295,83.5124573
24.9915414,82.0689514
25.3600376,83.0653328
25.4413515,81.8650706
26.0532877,83.1812721
25.3024243,82.9690787
26.7429588,83.3712517
25.2845053,82.4361156
25.2573714,83.2764725
25.3697983,82.9726593
25.3023578,82.9753549
25.3867334,82.5821934
25.4782611,81.8606785
25.2824005,82.9906966
25.2683883,83.0138326
25.425308,81.912422
25.4839218,81.8769177
25.4088946,81.9177673
25.4541694,81.8603227
25.4391012,81.8381289
26.0482847,83.1840446
26.0844709,83.0361054
24.9265262,82.6758657
26.7424394,83.3682212
24.873904,83.0395976
26.738647,83.367827
26.3445711,83.4138496
25.4559036,81.873128
25.2805137,82.9903301
25.4004424,81.8678011
25.4663303,81.830858
25.3797806,81.8456445
25.2232689,82.5111671
25.2810451,82.990486
25.455127,81.841359
25.3269832,82.964445
25.4581097,81.8382351
25.4012539,81.868973
25.4549389,81.8710772
26.0412036,83.1891825
26.0774853,83.1853284
25.3428889,82.9964458
25.3380641,82.9965272
25.406536,81.8678942
25.452133,81.8350271
25.4395135,81.8598341
25.3526539,82.9769841
26.6218178,83.559367
25.4558325,81.8345712
25.2929029,83.0055074
25.3460988,83.0372616
25.4969605,81.8684147
25.5434374,83.4006007
25.2965812,83.0013293
25.4573983,81.8541354
25.436294,81.8465893
25.2788877,83.0028725
25.4456103,81.8448926
25.0529472,83.6049874
25.2120479,83.5200848
25.0402736,83.6076361
25.4248667,81.9247846
25.4534639,81.8558676
25.1339452,82.5781942
26.3259352,82.9505861
25.357457,82.9647079
25.3504181,82.9967603
26.4398191,82.5485551
26.0888381,83.2928762
26.2629362,82.0750688
26.0794356,83.1869759
25.7470184,82.6795542
25.437487,81.8450908
25.3848185,82.5858783
25.7367334,82.6761398
25.247891,82.9940164
26.285864,83.5112429
26.0809991,83.1910971
25.3669118,83.0259106
25.4382354,81.8445128
25.3068304,82.9978198
26.4506262,82.779566
26.4355638,82.5496562
25.3264652,82.9927117
25.452294,81.86083
26.7426534,83.3697899
25.3246623,83.0149859
26.2513059,82.0689379
25.3051973,82.9805182
25.315928,82.9106507
25.4583031,81.8403155
25.4412243,81.8162088
25.3500933,83.0317504
25.4025358,81.8692489
25.2981978,82.9477684
26.7441571,83.3768293
25.4423942,81.8092552
25.3852492,81.8741452
26.0506256,83.1871717
25.3586252,82.952923
25.4302771,82.8618097
25.2932811,82.9965229
25.3869981,82.592479
25.4537711,81.8426618
25.4539839,81.8402796
25.4767798,81.850069
25.342448,82.9774846
26.0825114,83.1820835
25.4517419,81.8617031
25.3026937,82.952709
25.4680026,81.8288192
25.3043668,82.9815736
25.2555496,82.9586595
25.3023421,82.9645711
25.3006034,82.9560819
25.1379724,82.5761953
25.7354553,82.6797527
25.3579308,83.0112496
26.0772963,83.1807759
25.2835877,82.9983911
25.2960203,82.9991037
25.4559399,81.8616736
25.4431995,81.8715656
26.7342168,83.3665873
26.0881073,83.1884345
25.2774771,82.9661643
25.3945146,82.566994
25.4729624,81.845818
25.3153485,82.9855648
25.3117923,82.9856793
26.7348828,83.3712637
25.4485522,81.853981
25.2826176,82.975713
25.2829826,82.9749083
26.7427666,83.3702049
25.4394217,81.8572433
25.4327624,81.8176049
25.7399794,82.6845337
25.7568582,82.694088
25.4410889,81.8629107
25.4502288,81.7779974
26.0773898,83.186404
26.7436375,83.357786
25.3581531,83.0144841
25.3667543,83.0424316
26.2456502,82.0673682
25.5970814,83.5797358
25.4375479,81.8433035
25.4327503,81.7877697
25.4598731,81.865886
25.4458415,81.8525072
26.053297,82.6870026
25.3036115,82.9756862
25.3010439,83.0836343
25.4613007,81.8338403
25.6437776,82.920776
25.3052664,82.9864379
25.7396424,82.6656336
25.3512519,82.9779245
25.4544846,81.8572352
25.4592004,81.8383109
25.3563214,83.0096523
25.3484644,82.975772
25.3422395,82.9767966
25.3190508,82.9965833
25.3129735,82.9900937
25.3317015,83.0236682
25.2854642,83.1191824
25.4639609,81.8480064
26.7439702,83.3719668
25.9305332,82.0049501
25.3425037,82.9766236
25.3093752,83.0070332
25.4443541,81.8734278
25.2879096,83.001109
25.2537156,82.9964612
25.3804683,82.5691846
25.3438983,82.9881918
25.2896883,83.0042418
25.7392249,82.6874994
26.7449338,83.3656207
25.3039522,82.9867731
25.3552798,82.9655729
25.4577165,81.8638489
25.4315028,81.8501569
25.5324295,81.8539981
25.3592045,82.9591839
25.5275209,81.8537596
26.2664083,82.0744157
26.0574549,82.6841958
25.363961,83.0360573
25.4526682,81.8558304
25.3050931,82.9750063
25.1558133,82.5830014
26.7425732,83.3694841
25.350789,83.0037045
25.4542981,81.861392
25.3400505,82.9920933
25.4490511,81.7508575
25.7330029,82.6725617
25.4305145,81.8182694
25.7355797,82.6953149
25.2831802,82.9699691
25.455078,81.8636557
25.4652873,81.848852
25.5225384,81.8654629
26.7410605,83.3641767
25.2826237,82.9706222
25.2886212,82.9940888
25.3091348,82.9838206
25.4467048,81.8536506
25.2836471,82.9714912
25.2821724,82.9919971
26.0229049,82.9230016
25.8951054,81.9491571
25.3060181,82.9371
26.0852507,83.2846813
